course_code,course_name
TE61002,MIMO COMMUNICATIONS
AG69029,SOIL SYSTEMS LAB
AR42001,LANDSCAPE DESIGN AND SITE PLANNING
EX58201,SUMMER INTERNSHIP
IP69107,SEMINAR
NA58201,SUMMER INTERNSHIP
CE13003,ENGINEERING DRAWING AND COMPUTER GRAPHICS
CE69015,SOIL MECHANICS LABORATORY
EX28202,FIELD WORK
GG29209,INTRODUCTION TO EARTH SCIENCE LAB
AG68321,SUMMER INTERNSHIP
BT69204,BIOPROCESS TECHNOLOGY LABORATORY
EE61203,SENSORS AND MEASUREMENT TECHNOLOGY
PH68221,SUMMER INTERNSHIP
BS40002,MOLECULAR MICROBIOLOGY
CE68221,SUMMER INTERNSHIP
CR61003,CRYOGENIC LIQUEFACTION SYSTEMS AND CRYOCOOLERS
GG20206,PETROLOGY
HS69203,ADVANCED ECONOMETRICS LAB
IP60117,LAW OF CRIMES - II
SD11011,OSCILLATIONS AND WAVES
AG29203,AGRICULTURAL BIOTECHNOLOGY LABORATORY
AR13305,GRAPHICS AND VISUAL COMMUNICATION
BM63025,"ORGANIZATIONAL DESIGN, CHANGE AND TRANSFORMATION"
GG49202,TIME VARYING FIELD AND ELECTROMAGNETIC METHODS LABORATORY
GG60201,RESERVOIR GEOPHYSICS
MI69201,DATA ANALYTICS AND MACHINE LEARNING LABORATORY
BM69010,BUSINESS SIMULATION GAME
GG50023,MODELING AND SIMULATION OF GEOLOGICAL  PROCESSES
IP63702,DISSERTATION
MI39205,MINERAL ENGINEERING LABORATORY
PH29208,THERMAL PHYSICS LAB
AT69202,ELECTRIC TRANSPORTATION SYSTEMS DESIGN LAB
TE69001,COMMUNICATIONS HARDWARE LABORATORY
IP60123,TRADEMARK AND DESIGN
ME29002,MECHANISM SESSIONAL
AR20202,WATER SUPPLY AND SANITATION
EE21206,ELECTRICAL MACHINES
EE69247,PG POWER ELECTRONICS LAB
EV10003,ENVIRONMENTAL SCIENCE
GG21201,INTRODUCTION TO EARTH SCIENCE
GG39009,METAMORPHIC PETROLOGY LAB.
MT69145,SEMINAR
HS30212,GENERAL EQUILIBRIUM AND WELFARE ECONOMICS
HS58201,SUMMER INTERNSHIP
AE49012,FLIGHT TESTING LABORATORY
AG60302,ADVANCED THERMAL OPERATIONS IN FOOD PROCESSING
AG69023,FISHERY BIOLOGY AND FISH CULTURE LAB
BT69201,BIOSEPARATION TECHNOLOGY LABORATORY
CE20203,GEOMATICS
CE69017,FOUNDATION ENGINEERING LABORATORY
IM31014,DESIGN FOR ASSEMBLY AND AUTOMATION
ME67123,PROJECT - 2
EX58018,GEOPHYSICAL FIELDWORK - II
NA20201,MECHANICS OF DEFORMABLE BODIES
AE58201,SUMMER INTERNSHIP
AG60201,SURFACE WATER HYDROLOGY
AG69024,ON-FARM WATER MANAGEMENT LABORATORY
BT30201,BIOPROCESS TECHNOLOGY
EE67122,PROJECT - 1
EM20204,STATISTICS FOR ECONOMICS
PH29212,OPTICS LAB
MI40208,SAFETY ENGINEERING AND MINE LEGISLATION
MT39009,MECHANICAL TESTING AND WORKING LAB.
CY41211,PRINCIPLES OF ORGANIC SYNTHESIS
EE21205,ANALOG ELECTRONIC CIRCUITS
EE39004,EMBEDDED SYSTEMS LAB.
GG49204,VERTEBRATE AND MICRO-PALEONTOLOGY LAB
IM29202,WORK SYSTEM DESIGN LABORATORY
IP68101,SUMMER INTERNSHIP (8 WEEKS)
MM61520,SEMINAR-II
BM63017,ORGANIZATIONAL BEHAVIOUR
BM69001,SPREADSHEET MODELLING AND PROGRAMMING FOR BUSINESS
CS68021,SUMMER INTERNSHIP
EE69018,POWER AND ENERGY SYSTEM SIMULATION LAB
GG40229,BOREHOLE GEOPHYSICS
IP60119,LAW OF PATENT - I
CE69006,TRANSPORTATION ENGINEERING LAB II
MT60004,PRINCIPLES AND TECHNIQUES OF MATERIALS CHARACTERIZATION
RT69045,SEMINAR
AT60003,EMBEDDED SOFTWARE DESIGN AND VALIDATION
CH21203,CHEMICAL PROCESS CALCULATIONS
HS60017,HR ANALYTICS
MM61513,IMAGE PROCESSING LABORATORY
PH30207,MATHEMATICS FOR PHYSICS II
AE49003,AIRCRAFT DESIGN AND OPTIMISATION
AG20201,SOIL TECHNOLOGY
CS21203,ALGORITHMS - I
EE60100,MIXED SIGNAL CIRCUITS AND SYSTEMS ON CHIP
EX41004,NUCLEAR GEOPHYSICS
ME69245,SEMINAR
AE31002,AEROSPACE STRUCTURAL DYNAMICS
AG31006,FOOD SCIENCE AND TECHNOLOGY
AT67122,PROJECT - 1
BS40003,NUCLEIC ACIDS: STRUCTURE AND FUNCTION
GG31006,IGNEOUS PETROLOGY
GG38202,FIELD GEOLOGY II
CE68521,SUMMER INTERNSHIP
CS10003,PROGAMMING AND DATA STRUCTURES
AG60032,CROP BREEDING AND BIOTECHNOLOGICAL APPLICATION
AR60220,PLANNING INFORMATICS
BM63010,MARKETING RESEARCH
BS41001,CELL AND DEVELOPMENTAL BIOLOGY
CE60006,HYDRAULICS OF SEDIMENT TRANSPORT
CE60044,THEORY OF ELASTIC STABILITY AND BEHAVIOUR OF METAL STR.
EE69208,INSTRUMENTATION SYSTEM DESIGN
IM48201,SUMMER INTERNSHIP
ME69345,SEMINAR
MI69205,SUBSURFACE ENVIRONMENT LABORATORY
ID69201,INFRASTRUCTURE PERFORMANCE AND MANAGEMENT WORKSHOP
AT69145,SEMINAR
BT39008,BIOINFORMATICS LABORATORY
CE60028,INDUSTRIAL WATER POLLUTION CONTROL
CY41011,PRINCIPLES OF ORGANIC SYNTHESIS
GG41007,ADVANCED STRUCTURAL GEOLOGY
HS60022,INTERNATIONAL HRM
BT20204,CELL AND MOLECULAR BIOLOGY
BT60203,ANIMAL CELL CULTURE AND IMMUNOTECHNOLOGY
CY41212,MOLECULAR THERMODYNAMICS AND MOLECULAR REACTION DYNAMICS
EC21208,SIGNALS AND SYSTEMS
EE69016,EMBEDDED SYSTEMS LABORATORY
EM39203,ECONOMETRIC ANALYSIS II LAB
AG60053,FISHERY BIOLOGY AND FISH CULTURE TECHNIQUES
EC21206,ELECTROMAGNETIC ENGINEERING
GG31204,GRAVITY AND MAGNETIC METHODS OF PROSPECTING
MM58006,COMPREHENSIVE VIVA VOCE
WM60007,ENVIRONMENTAL HYDROLOGY AND HYDRAULICS
WM69005,GEO INFORMATICS LABORATORY
GG69145,SEMINAR
IP61021,INFORMATION TECHNOLOGY LAW
MA40205,THEORY OF ORDINARY DIFFERENTIAL EQUATIONS
BM63008,MARKETING MANAGEMENT II
EA10009,EXTRA ACADEMIC ACTIVITY-III
HS60016,PERFORMANCE MANAGEMENT
ME49204,CIM LABORATORY
MI31207,VENTILATION AND CLIMATE CONTROL
MM61213,MATHEMATICAL METHODS IN BIOMEDICAL ENGINEERING
AE69045,SEMINAR
CS31204,COMPUTER NETWORKS
EC69507,SEMINAR-I
MT20202,MATERIALS PROCESSING
AR34202,ARCHITECTURAL DESIGN IV
GG49208,HYDROGEOLOGY LAB
MA69203,PROGRAMMING LANGUAGES AND DATA STRUCTURES LAB
AG69008,FOOD ENGINEERING LAB-II
BM63015,BUSINESS ANALYTICS
EE69206,EMBEDDED CONTROL SYSTEMS LABORATORY
GG49207,RADIOMETRIC METHODS OF PROSPECTING LAB
IM61218,MACHINE LEARNING FOR INDUSTRIAL APPLICATIONS
AT60202,INTELLIGENT TRANSPORTATION SYSTEM
CE68321,SUMMER INTERNSHIP
EC61203,FOUNDATIONS OF LEARNING THEORY
EX48204,GEOPHYSICAL FIELD WORK I
GG39207,BOREHOLE GEOPHYSICS(LAB)
GG39208,ELECTROMAGNETIC METHODS LABORATORY
MM71514,MOLECULAR IMAGING
BS49001,CHEMICAL BIOLOGY LABORATORY
CS69045,SEMINAR
HS39201,BEHAVIORAL SCIENCES LABORATORY
HS60239,INDUSTRIAL LAW FOR MANAGERS
PE60001,DRILLING AND HYDROFRACKING TECHNOLOGY
CH31203,COMPUTER AIDED PROCESS ENGINEERING
CR61001,INTRODUCTION TO CRYOGENICS AND SUPERCONDUCTIVITY
ES68021,SUMMER INTERNSHIP
ME29201,INTRODUCTION TO BASIC MANUFACTURING PROCESSES
MI21202,MINE SURVEYING AND GEOINFORMATICS
AG39006,FOOD SCIENCE AND TECHNOLOGY LABORATORY
AG69035,AGRICULTURAL PRODUCTION SYSTEMS LAB
AT60201,PRINCIPLES OF AUTOMOTIVE DYNAMICS AND CONTROL
BM68004,COMPREHENSIVE VIVA
MM61511,BIOSTATISTICS
CH68021,SUMMER INTERNSHIP
GG30210,METAMORPHIC PETROLOGY
IP60132,PATENT DRAFTING AND SPECIFICATION WRITING
ME60001,THEORY OF MACHINING
BT31006,BIOINFORMATICS
CE69007,TRANSPORTATION ENGINEERING LAB I
EE40013,DIGITAL SIGNAL PROCESSING
IM21204,OPERATIONS RESEARCH II
MS68021,SUMMER INTERNSHIP
TE69002,EMBEDDED COMMUNICATIONS LABORATORY
AG69145,SEMINAR
CH61011,ADVANCED FLUID DYNAMICS
PH39205,ELECTROMAGNETISM AND OPTICS LAB
AR48008,OFFICE TRAINING
AR60225,SUSTAINABLE MATERIALS
CE69401,SEMINAR-I
CS29206,SYSTEMS PROGRAMMING LABORATORY
EE11003,ELECTRICAL TECHNOLOGY
HS39202,FINANCIAL ANALYSIS LABORATORY
CE39202,STRUCTURAL DESIGN SESSIONAL
EE40016,INDUSTRIAL AUTOMATION AND CONTROL
GG49210,REMOTE SENSING AND GIS LABORATORY
SE61202,OCCUPATIONAL SAFETY ENGINEERING
AE69003,AEROSPACE LABORATORY I
AG60042,WATER RESOURCES SYSTEM ANALYSIS
CS60005,FOUNDATIONS OF COMPUTING SCIENCE
IP60103,LAW OF CONTRACT - I
PH21212,QUANTUM PHYSICS
PH40201,MODERN OPTICS
EX49201,RESERVOIR GEOPHYSICS PRACTICES LAB
GG39201,GEOCHEMISTRY LAB
MA60002,DATA STRUCTURE AND ALGORITHM
PH61201,ADVANCES IN FUNCTIONAL MATERIALS
CY49201,ADVANCED ORGANIC CHEMISTRY LABORATORY
MI39002,MINE HAZARDS AND RESCUE LABORATORY
RE69001,SEMINAR-I
TE60114,BROADBAND ACCESS NETWORKS
AG20203,THEORY OF MACHINE ELEMENTS
AR20207,CLIMATOLOGY AND SOLAR ARCHITECTURE
EE60020,MACHINE LEARNING FOR SIGNAL PROCESSING
MA20201,NUMERICAL SOLUTION OF ORDINARY AND PDE
HS29201,ECONOMIC DATA ANALYSIS LABORATORY
MA41206,FLUID MECHANICS
AE69208,INNOVATION LABORATORY II
AG39003,LAND AND WATER RESOURCES ENGINEERING LAB.
AG60002,ALTERNATIVE ENERGY SOURCES
CY29201,PHYSICAL CHEMISTRY LABORATORY I
EC31204,COMMUNICATION-II
EM30212,GENERAL EQUILIBRIUM AND WELFARE ECONOMICS
MI60239,BULK MATERIAL HANDLING
MM50021,RADIOPHARMACEUTICALS
CS21201,DISCRETE STRUCTURES
EC29201,BASIC ELECTRONICS LABORATORY
AE31009,AEROSPACE STRUCTURAL ANALYSIS
AG60061,CROP PRODUCTION SYSTEMS
AG69003,TRACTOR SYSTEMS LABORATORY I
AR60221,SUSTAINABLE BUILT ENVIRONMENT DESIGN PRINCIPLES
BM69014,MANAGERIAL COMMUNICATION
BT20202,PLANT TISSUE AND CELL CULTURE
ME30005,HEAT TRANSFER
MS61001,SCIENCE AND TECHNOLOGY OF SEMICONDUCTORS
EC68521,SUMMER INTERNSHIP
EC69012,DESIGN LABORATORY
GG30203,ELECTRICAL METHODS OF PROSPECTING
GG49005,ORE GEOLOGY LAB.
HS69016,PERSONAL GROWTH LAB.
IP63102,LAW AND SOCIAL TRANSFORMATION IN INDIA
PH41016,NUCLEAR AND PARTICLE PHYSICS -I
PH69245,SEMINAR
AR32201,WORKING DRAWING I
BT69202,RECOMBINANT DNA TECHNOLOGY LABORATORY
GG29204,DETERMINATIVE MINERALOGY LABORATORY
IP63101,CONSTITUTIONAL LAW OF INDIA
MA60274,AI AND ML
BM63007,MANAGEMENT INFORMATION SYSTEMS
IP60101,"JURISPRUDENCE (LEGAL METHODS, INDIAN LEGAL SYSTEM AND BASIC THEORY OF LAW)"
IP60134,TRADE SECRET AND TECHNOLOGY TRANSFER
MM40005,MICROBIAL GENETICS AND GENETIC ENGINEERING
PH21214,OPTICS
SD11009,CALCULUS AND ODE
BM40202,DERIVATIVES AND RISK MANAGEMENT
EE61209,LINEAR SYSTEMS AND CONTROL
GG30217,ENGINEERING GEOLOGY
GG48012,FIELD WORK(STRUCTURAL GEOLOGY)
MM59007,RADIATION DOSIMETRY AND PROTECTION LAB
AT60006,"EMBEDDED SENSING, ACTUATION AND INTERFACING SYSTEM"
AT69001,EMBEDDED CONTROL LABORATORY
GG49007,ADVANCED STRUCTURAL GEOLOGY LAB.
ME21202,BASIC THERMODYNAMICS
AR34201,ARCHITECTURAL DESIGN III
AT67222,PROJECT - 1
IM31005,QUALITY DESIGN AND CONTROL
MM71315,FUNDAMENTALS OF MEDICAL INSTRUMENTS
MT39004,MATERIALS CHARACTERISATION LAB.
EC60298,WIRELESS COMMUNICATION
EE29208,ELECTRONIC CIRCUITS LABORATORY
MT68221,SUMMER INTERNSHIP
CH48013,INDUSTRIAL TRAINING
CH61014,ADVANCED HEAT TRANSFER
EC31004,VLSI ENGG.
PH21210,THERMAL PHYSICS
AG39201,FARM MACHINERY LABORATORY
CY30208,INTERMEDIATES AND TRANSITION STATES IN ORGANIC SYNTHESIS
EC69019,RF AND MICROWAVE CIRCUITS LABORATORY
HS13003,ENGLISH FOR COMMUNICATION
HS41204,INTERNATIONAL ECONOMICS I
MM61314,TRANSLATIONAL HEALTH RESEARCH
CS29204,SWITCHING CIRCUITS LABORATORY
EE60005,RENEWABLE AND DISTRIBUTED ENERGY SYSTEMS
IP63802,COMPREHENSIVE VIVA VOCE
MA30227,OPTIMIZATION TECHNIQUES
MM69201,MEDICAL BIOTECHNOLOGY LABORATORY
CE69013,PLANNING AND DESIGN OF ENV. ENGG. FACILITIES
EE39009,CONTROL AND INSTRUMENTATION LAB.
GG40210,VERTEBRATE AND MICRO-PALEONTOLOGY
SD11003,INTRODUCTION TO INORGANIC CHEMISTRY
AR20203,ADVANCED BUILDING MATERIALS AND COMPOSITES
GG31202,GEOPHYSICAL INVERSE THEORY
GG39202,METAMORPHIC PETROLOGY LAB
IP60112,LAW OF CRIMES - I
NA60021,PHYSICAL AND DYNAMICAL OCEANOGRAPHY
EM30201,INDIAN ECONOMY
ID60206,INFRASTRUCTURE PROJECT MANAGEMENT
AG69026,FOOD PROCESS ENGINEERING LABORATORY
CE30201,PAVEMENT ENGINEERING
EE60019,SWITCHED MODE POWER CONVERSION
EE60023,POWER SYSTEM ANALYSIS AND OPERATION
EM21203,MICROECONOMICS I
EM29202,ECONOMETRIC ANALYSIS - I LABORATORY
PH21209,ELECTROMAGNETISM
CE21204,TRANSPORTATION ENGINEERING
CH39006,MASS TRANSFER LABORATORY
CH61016,PROCESS DYNAMICS AND CONTROL
EE31011,POWER ELECTRONICS
GG39205,SEISMIC METHODS OF PROSPECTING LAB
MI49201,PLANNING AND DESIGN LABORATORY
